,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.6,-1.9,92.15,988
1,2019,1,1,0,30,0,3.7,-2.0,92.93,989
2,2019,1,1,1,0,0,3.9,-2.1,88.24,991
3,2019,1,1,1,30,0,4.0,-2.3000000000000003,89.65,992
4,2019,1,1,2,0,0,4.1000000000000005,-2.5,84.74,992
5,2019,1,1,2,30,0,4.2,-2.8000000000000003,86.73,993
6,2019,1,1,3,0,0,4.3,-3.1,83.37,993
7,2019,1,1,3,30,0,4.3,-3.3000000000000003,84.62,993
8,2019,1,1,4,0,0,4.4,-3.6,82.55,994
9,2019,1,1,4,30,0,4.4,-3.9,84.42,994
10,2019,1,1,5,0,0,4.4,-4.1000000000000005,81.79,994
11,2019,1,1,5,30,0,4.2,-4.4,83.74,995
12,2019,1,1,6,0,0,4.0,-4.7,81.91,996
13,2019,1,1,6,30,0,3.9,-4.800000000000001,82.53,996
14,2019,1,1,7,0,0,3.7,-5.0,81.23,997
15,2019,1,1,7,30,4,3.8,-4.7,79.41,997
16,2019,1,1,8,0,25,4.0,-4.5,76.79,998
17,2019,1,1,8,30,54,3.9,-4.2,75.08,998
18,2019,1,1,9,0,87,3.9,-3.8,73.3,998
19,2019,1,1,9,30,125,3.6,-3.4000000000000004,71.15,998
20,2019,1,1,10,0,137,3.4000000000000004,-3.0,71.67,998
21,2019,1,1,10,30,180,3.2,-2.7,70.09,998
22,2019,1,1,11,0,248,2.9000000000000004,-2.3000000000000003,71.14,998
23,2019,1,1,11,30,170,2.8000000000000003,-2.0,69.59,998
24,2019,1,1,12,0,234,2.7,-1.8,71.11,998
25,2019,1,1,12,30,203,2.6,-1.7000000000000002,70.59,998
26,2019,1,1,13,0,201,2.5,-1.6,71.35000000000001,998
27,2019,1,1,13,30,178,2.5,-1.7000000000000002,71.87,998
28,2019,1,1,14,0,144,2.5,-1.8,72.73,998
29,2019,1,1,14,30,154,2.4000000000000004,-2.2,74.9,998
30,2019,1,1,15,0,126,2.3000000000000003,-2.5,76.37,998
31,2019,1,1,15,30,72,2.1,-3.0,79.25,998
32,2019,1,1,16,0,26,2.0,-3.6,81.54,999
33,2019,1,1,16,30,5,2.1,-3.8,82.77,999
34,2019,1,1,17,0,0,2.2,-4.1000000000000005,82.4,999
35,2019,1,1,17,30,0,2.2,-4.1000000000000005,82.4,999
36,2019,1,1,18,0,0,2.2,-4.5,83.4,999
37,2019,1,1,18,30,0,2.0,-4.800000000000001,85.31,999
38,2019,1,1,19,0,0,1.9,-5.0,85.51,999
39,2019,1,1,19,30,0,1.7000000000000002,-5.2,86.81,999
40,2019,1,1,20,0,0,1.5,-5.4,87.28,998
41,2019,1,1,20,30,0,1.2000000000000002,-5.6000000000000005,88.62,998
42,2019,1,1,21,0,0,1.0,-5.800000000000001,89.28,998
43,2019,1,1,21,30,0,0.8,-6.0,90.65,998
44,2019,1,1,22,0,0,0.7000000000000001,-6.2,90.48,997
45,2019,1,1,22,30,0,0.6000000000000001,-6.300000000000001,91.17,997
46,2019,1,1,23,0,0,0.6000000000000001,-6.300000000000001,89.98,997
47,2019,1,1,23,30,0,0.5,-6.300000000000001,89.98,997
48,2019,1,2,0,0,0,0.4,-6.300000000000001,89.73,997
49,2019,1,2,0,30,0,0.4,-6.4,90.42,997
50,2019,1,2,1,0,0,0.4,-6.4,90.31,997
51,2019,1,2,1,30,0,0.6000000000000001,-6.5,91.01,997
52,2019,1,2,2,0,0,0.8,-6.6000000000000005,91.68,997
53,2019,1,2,2,30,0,0.9,-6.5,90.98,997
54,2019,1,2,3,0,0,1.0,-6.300000000000001,91.8,996
55,2019,1,2,3,30,0,1.0,-6.1000000000000005,90.41,996
56,2019,1,2,4,0,0,1.0,-5.800000000000001,91.34,995
57,2019,1,2,4,30,0,1.0,-5.6000000000000005,89.96000000000001,995
58,2019,1,2,5,0,0,1.1,-5.300000000000001,90.62,995
59,2019,1,2,5,30,0,1.1,-5.2,89.94,995
60,2019,1,2,6,0,0,1.2000000000000002,-5.1000000000000005,90.56,995
61,2019,1,2,6,30,0,1.4,-4.9,89.21000000000001,995
62,2019,1,2,7,0,0,1.6,-4.800000000000001,89.48,995
63,2019,1,2,7,30,4,2.1,-4.0,84.25,995
64,2019,1,2,8,0,25,2.6,-3.3000000000000003,83.60000000000001,995
65,2019,1,2,8,30,55,3.4000000000000004,-2.8000000000000003,80.55,995
66,2019,1,2,9,0,90,4.1000000000000005,-2.2,76.72,994
67,2019,1,2,9,30,140,4.4,-2.1,76.15,994
68,2019,1,2,10,0,167,4.800000000000001,-1.9,72.17,993
69,2019,1,2,10,30,170,4.9,-1.8,71.64,993
70,2019,1,2,11,0,194,5.0,-1.6,69.22,992
71,2019,1,2,11,30,148,5.1000000000000005,-1.5,68.65,991
72,2019,1,2,12,0,232,5.300000000000001,-1.4,68.54,990
73,2019,1,2,12,30,246,5.4,-1.3,68.04,990
74,2019,1,2,13,0,236,5.5,-1.2000000000000002,69.13,989
75,2019,1,2,13,30,181,5.5,-1.3,69.63,989
76,2019,1,2,14,0,142,5.6000000000000005,-1.3,71.4,989
77,2019,1,2,14,30,157,5.300000000000001,-1.5,72.46000000000001,989
78,2019,1,2,15,0,136,5.1000000000000005,-1.7000000000000002,75.25,989
79,2019,1,2,15,30,82,4.800000000000001,-2.0,76.93,989
80,2019,1,2,16,0,36,4.5,-2.4000000000000004,79.7,989
81,2019,1,2,16,30,7,4.5,-2.7,81.49,989
82,2019,1,2,17,0,0,4.5,-3.1,81.74,989
83,2019,1,2,17,30,0,4.5,-3.1,81.74,989
84,2019,1,2,18,0,0,4.5,-3.6,81.39,989
85,2019,1,2,18,30,0,4.2,-4.0,83.87,989
86,2019,1,2,19,0,0,4.0,-4.4,82.23,990
87,2019,1,2,19,30,0,3.5,-5.0,86.04,990
88,2019,1,2,20,0,0,3.1,-5.6000000000000005,85.12,990
